id,name,description,reviews,rating,link,email,phone,website,featured_image,ranking,address,detailed_address,latitude,longitude,reviews_per_rating,review_keywords,is_open,open_hours,menu_link,delivery_url,price_range,cuisines,diets,meal_types,dining_options,owner_types,top_tags
25152200,BB52 Burgers Uluwatu,,90,5,https://www.tripadvisor.com/Restaurant_Review-g297694-d25152200-Reviews-BB52_Burgers_Uluwatu-Denpasar_Bali.html,uluwatu@bb52burgers.com,+62 821-4738-8865,https://tavologroup.com/bb52/,https://media-cdn.tripadvisor.com/media/photo-m/1280/27/19/73/8b/bb52-is-a-fresh-and-modern.jpg,"{""current_rank"": 6, ""total"": 1224}","Jl. Labuan Sait No.8, Uluwatu Kuta Selatan, Denpasar 80362 Indonesia","{""street"": ""Jl. Labuan Sait No.8, Uluwatu, Kuta Selatan"", ""city"": null, ""postal_code"": ""80362"", ""state"": null, ""country_code"": ""ID""}",-8.828147,115.12471,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 89}","[""waffle fries"", ""chicken burger"", ""big mac"", ""bb52"", ""menu"", ""bali""]",True,"{""sun"": [{""open"": ""11:00:00"", ""close"": ""04:00:00""}], ""mon"": [{""open"": ""11:00:00"", ""close"": ""03:00:00""}], ""tue"": [{""open"": ""11:00:00"", ""close"": ""03:00:00""}], ""wed"": [{""open"": ""11:00:00"", ""close"": ""03:00:00""}], ""thu"": [{""open"": ""11:00:00"", ""close"": ""03:00:00""}], ""fri"": [{""open"": ""11:00:00"", ""close"": ""04:00:00""}], ""sat"": [{""open"": ""11:00:00"", ""close"": ""04:00:00""}]}",,,$$ - $$$,"[""American"", ""Fast Food"", ""Barbecue"", ""Australian""]",[],"[""Lunch"", ""Dinner"", ""Late Night""]","[""Delivery"", ""Takeout"", ""Reservations"", ""Outdoor Seating"", ""Seating"", ""Parking Available"", ""Free off-street parking"", ""Highchairs Available"", ""Serves Alcohol"", ""Free Wifi"", ""Accepts Credit Cards"", ""Table Service""]",[],"[""Mid-range"", ""American"", ""Fast Food"", ""Barbecue""]"
23982356,Naughty Nuri's Sanur,,934,5,https://www.tripadvisor.com/Restaurant_Review-g297700-d23982356-Reviews-Naughty_Nuri_s_Sanur-Sanur_Denpasar_Bali.html,info@naughtynurissanur.com,+62 361 280734,http://www.naughtynurissanur.com/,https://media-cdn.tripadvisor.com/media/photo-m/1280/23/73/f2/f1/entrance-look.jpg,"{""current_rank"": 2, ""total"": 358}","Jl. Bypass Ngurah Rai No 77, Sanur, Denpasar 80228 Indonesia","{""street"": ""Jl. Bypass Ngurah Rai No 77"", ""city"": ""Sanur"", ""postal_code"": ""80228"", ""state"": null, ""country_code"": ""ID""}",-8.688,115.25853,"{""1"": 8, ""2"": 6, ""3"": 24, ""4"": 23, ""5"": 873}","[""pork ribs"", ""truffle fries"", ""oriental salad"", ""strawberry daiquiri"", ""spareribs"", ""burger"", ""potatoes"", ""satay"", ""crazy corn"", ""bbq corn"", ""family dinner"", ""fantastic dinner"", ""on tap"", ""nice service"", ""fast service"", ""lunch time"", ""cozy place"", ""amazing food"", ""sanur area"", ""maya"", ""waitress"", ""diani"", ""branch"", ""indi"", ""meila"", ""tata"", ""redi"", ""nya"", ""bgt"", ""luas""]",True,"{""sun"": [{""open"": ""11:00:00"", ""close"": ""22:00:00""}], ""mon"": [{""open"": ""11:00:00"", ""close"": ""22:00:00""}], ""tue"": [{""open"": ""11:00:00"", ""close"": ""22:00:00""}], ""wed"": [{""open"": ""11:00:00"", ""close"": ""22:00:00""}], ""thu"": [{""open"": ""11:00:00"", ""close"": ""22:00:00""}], ""fri"": [{""open"": ""11:00:00"", ""close"": ""22:00:00""}], ""sat"": [{""open"": ""11:00:00"", ""close"": ""22:00:00""}]}",https://naughtynurissanur.com/qr-code/,,$$ - $$$,"[""American"", ""Steakhouse"", ""Bar"", ""Barbecue"", ""Asian"", ""Indonesian""]",[],"[""Lunch"", ""Dinner""]","[""Takeout"", ""Reservations"", ""Seating"", ""Parking Available"", ""Validated Parking"", ""Highchairs Available"", ""Wheelchair Accessible"", ""Serves Alcohol"", ""Full Bar"", ""Wine and Beer"", ""Accepts Mastercard"", ""Accepts Visa"", ""Digital Payments"", ""Free Wifi"", ""Accepts Credit Cards"", ""Table Service"", ""Family style""]",[],"[""Mid-range"", ""American"", ""Steakhouse"", ""Bar""]"
23238020,Fisherman's Club,"Come for the food, stay for the view at this beachfront restaurant. Enjoy the freshest seafood and catch of the day by local fishermen, grilled using traditional method on coconut husk. As the sun goes down, Fisherman's Club turns into a sophisticated beach club with drinks to match.",709,5,https://www.tripadvisor.com/Restaurant_Review-g297694-d23238020-Reviews-Fisherman_s_Club-Denpasar_Bali.html,info.andazbali@andaz.com,+62 361 3201234,https://www.hyatt.com/andaz/dpsaz-andaz-bali/dining/fishermans-club?src=prop_aspac_spons_tripadvisor_en_homepage_desktop_fisherman_x,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/f7/55/2d/fisherman-s-club-beachfront.jpg,"{""current_rank"": 9, ""total"": 1224}","Jalan Danau Tamblingan 89a Andaz Bali, Denpasar 80228 Indonesia","{""street"": ""Jalan Danau Tamblingan 89a, Andaz Bali"", ""city"": null, ""postal_code"": ""80228"", ""state"": null, ""country_code"": ""ID""}",-8.699868,115.26537,"{""1"": 12, ""2"": 7, ""3"": 13, ""4"": 34, ""5"": 643}","[""seafood"", ""octopus"", ""kimchi fried rice"", ""churros"", ""crab"", ""prawns"", ""burger"", ""andaz hotel"", ""day pass"", ""dirty potatoes"", ""wonderful dinner"", ""food was amazing"", ""great ambience"", ""nice restaurant"", ""sanur beach"", ""live music"", ""evi"", ""susi"", ""mita"", ""utama"", ""agung"", ""ade"", ""indri"", ""bali"", ""mba"", ""pak"", ""cakalang"", ""platter""]",True,"{""sun"": [{""open"": ""12:00:00"", ""close"": ""23:00:00""}], ""mon"": [{""open"": ""11:30:00"", ""close"": ""23:00:00""}], ""tue"": [{""open"": ""11:30:00"", ""close"": ""23:00:00""}], ""wed"": [{""open"": ""11:30:00"", ""close"": ""23:00:00""}], ""thu"": [{""open"": ""11:30:00"", ""close"": ""23:00:00""}], ""fri"": [{""open"": ""11:30:00"", ""close"": ""23:00:00""}], ""sat"": [{""open"": ""11:30:00"", ""close"": ""23:00:00""}]}",https://linktr.ee/FishermansClub,,$$ - $$$,"[""Bar"", ""Seafood"", ""International"", ""Asian"", ""Grill""]","[""Vegetarian friendly"", ""Vegan options""]","[""Lunch"", ""Dinner"", ""Brunch"", ""Late Night"", ""Drinks""]","[""Takeout"", ""Reservations"", ""Outdoor Seating"", ""Seating"", ""Parking Available"", ""Validated Parking"", ""Valet Parking"", ""Highchairs Available"", ""Wheelchair Accessible"", ""Serves Alcohol"", ""Full Bar"", ""Wine and Beer"", ""Accepts American Express"", ""Accepts Mastercard"", ""Accepts Visa"", ""Free Wifi"", ""Accepts Credit Cards"", ""Table Service"", ""Live Music"", ""Waterfront"", ""Beach"", ""Playgrounds"", ""Family style"", ""Non-smoking restaurants""]",[],"[""Mid-range"", ""Bar"", ""Seafood"", ""International""]"
2639425,Three Monkeys Sanur,"The contemporary menu melds modern Indonesian, Middle Eastern and Mediterranean cultures and cuisine. Old family recipes inspire dishes like the hearty Prawn Saganaki and Yaya's Moussaka, Indonesian flavors are represented in the Pepes Ikan Tengirri (fish cooked in banana leaves), and the richly spiced Beef Rendang, while exotic Arabian influences infuse the Turkish style pide topped with feta, roast garlic, olives and tomato harissa. Ubud favorites include the famous wood fired gourmet pizza, and a decadent selection of Kali's sensational cakes and pastries",3895,4.5,https://www.tripadvisor.com/Restaurant_Review-g297700-d2639425-Reviews-Three_Monkeys_Sanur-Sanur_Denpasar_Bali.html,,+62 361 286002,https://threemonkeysbali.com/,https://media-cdn.tripadvisor.com/media/photo-o/1a/b7/73/87/three-monkeys-sanur.jpg,"{""current_rank"": 46, ""total"": 358}","Jl. Danau Tamblingan, Sanur, Denpasar 80222 Indonesia","{""street"": ""Jl. Danau Tamblingan"", ""city"": ""Sanur"", ""postal_code"": ""80222"", ""state"": null, ""country_code"": ""ID""}",-8.691993,115.26357,"{""1"": 65, ""2"": 148, ""3"": 402, ""4"": 1184, ""5"": 2096}","[""pumpkin ravioli"", ""pizza"", ""beef rendang"", ""salad"", ""spring rolls"", ""prawns"", ""snapper"", ""beautiful restaurant"", ""bali"", ""upmarket"", ""presentation"", ""fans""]",True,"{""sun"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""mon"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""tue"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""wed"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""thu"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""fri"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}], ""sat"": [{""open"": ""11:00:00"", ""close"": ""23:00:00""}]}",https://ugc.production.linktr.ee/aac0729a-36b1-41d7-9746-8312c05ba984_TMS-MENU-UPDATED-MAY-2024.pdf,,$$ - $$$,"[""European"", ""Asian"", ""Indonesian""]","[""Vegetarian friendly"", ""Vegan options"", ""Gluten free options""]","[""Lunch"", ""Dinner"", ""Brunch"", ""Late Night""]","[""Reservations"", ""Outdoor Seating"", ""Seating"", ""Highchairs Available"", ""Wheelchair Accessible"", ""Serves Alcohol"", ""Full Bar"", ""Free Wifi"", ""Accepts Credit Cards"", ""Table Service"", ""Live Music"", ""Jazz Bar""]",[],"[""Mid-range"", ""European"", ""Asian"", ""Indonesian""]"
8021220,Lilla Pantai,With a main focus on Balinese food we also offer Western choices as well as fusions. The healthy signature juices and cold beers complements the refreshing atmosphere at the beach.,1256,4.5,https://www.tripadvisor.com/Restaurant_Review-g297700-d8021220-Reviews-Lilla_Pantai-Sanur_Denpasar_Bali.html,,+62 877-6777-5050,http://www.beacons.ai/lillabali,https://media-cdn.tripadvisor.com/media/photo-o/11/49/cc/ea/lilla-pantai.jpg,"{""current_rank"": 62, ""total"": 358}","Jalan Duyung Jalan Sanur Beach Street Walk, Sanur, Denpasar 80228 Indonesia","{""street"": ""Jalan Duyung, Jalan Sanur Beach Street Walk"", ""city"": ""Sanur"", ""postal_code"": ""80228"", ""state"": null, ""country_code"": ""ID""}",-8.70473,115.263885,"{""1"": 32, ""2"": 53, ""3"": 132, ""4"": 381, ""5"": 659}","[""nasi campur"", ""snapper"", ""beef rendang"", ""juice"", ""salad"", ""beach front"", ""sanur beach"", ""your feet"", ""lunch and dinner"", ""great coffee"", ""during our stay"", ""lalapan"", ""sand"", ""bali""]",True,"{""sun"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""mon"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""tue"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""wed"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""thu"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""fri"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""sat"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}]}",,,$$ - $$$,"[""Bar"", ""Seafood"", ""European"", ""Indonesian""]","[""Vegetarian friendly"", ""Vegan options"", ""Gluten free options""]","[""Breakfast"", ""Lunch"", ""Dinner"", ""Brunch""]","[""Delivery"", ""Takeout"", ""Reservations"", ""Outdoor Seating"", ""Seating"", ""Street Parking"", ""Highchairs Available"", ""Serves Alcohol"", ""Full Bar"", ""Accepts Mastercard"", ""Accepts Visa"", ""Free Wifi"", ""Accepts Credit Cards"", ""Table Service"", ""Waterfront"", ""Beach""]",[],"[""Mid-range"", ""Bar"", ""Seafood"", ""European""]"
8368951,Warung Baby Monkeys,"In Warung Baby Monkeys you can have breakfast, lunch and dinner and enjoy your cold Bintang or more.",1414,4.5,https://www.tripadvisor.com/Restaurant_Review-g297700-d8368951-Reviews-Warung_Baby_Monkeys-Sanur_Denpasar_Bali.html,warungbabymonkeys@yahoo.com,+62 819-3436-9309,http://www.facebook.com/warungbabymonkeys,https://media-cdn.tripadvisor.com/media/photo-o/12/b5/05/5b/photo1jpg.jpg,"{""current_rank"": 15, ""total"": 358}","Jl. Sudamala 6, Sanur, Denpasar Indonesia","{""street"": ""Jl. Sudamala 6"", ""city"": ""Sanur"", ""postal_code"": null, ""state"": null, ""country_code"": ""ID""}",-8.707436,115.25621,"{""1"": 12, ""2"": 19, ""3"": 79, ""4"": 314, ""5"": 990}","[""mie goreng"", ""tuna steak"", ""satay"", ""ribs"", ""great food"", ""indonesian food"", ""ate here"", ""peanut sauce"", ""lovely atmosphere"", ""during our stay"", ""every night"", ""warung"", ""arak"", ""bali"", ""spicy"", ""beers"", ""babi"", ""bintangs""]",True,"{""sun"": [{""open"": ""08:00:00"", ""close"": ""23:30:00""}], ""mon"": [{""open"": ""08:00:00"", ""close"": ""23:30:00""}], ""tue"": [{""open"": ""08:00:00"", ""close"": ""23:30:00""}], ""wed"": [{""open"": ""08:00:00"", ""close"": ""23:30:00""}], ""thu"": [{""open"": ""08:00:00"", ""close"": ""23:30:00""}], ""fri"": [{""open"": ""08:00:00"", ""close"": ""23:30:00""}], ""sat"": [{""open"": ""08:00:00"", ""close"": ""23:30:00""}]}",,,$,"[""Asian"", ""Indonesian""]","[""Vegetarian friendly"", ""Vegan options""]","[""Breakfast"", ""Lunch"", ""Dinner"", ""Brunch""]","[""Takeout"", ""Reservations"", ""Seating"", ""Highchairs Available"", ""Wheelchair Accessible"", ""Serves Alcohol"", ""Free Wifi"", ""Table Service""]",[],"[""Cheap Eats"", ""Asian"", ""Indonesian"", ""Vegetarian friendly""]"
1994612,Gong Restaurant - Indonesian and Balinese Cuisine,"Gong is the signature restaurant of Kayumanis Sanur specializing in the finest in traditional Indonesian and Balinese cuisine whose exotic flavours begin with the harmonious blend of the freshest local ingredients, herbs and spices available. Offering an intimate and relaxed setting, gong is an ideal venue for couples or small parties seeking stylish dining and a delightful culinary adventure. Complimentary pick up service within Sanur area from 08.00 - 20.00",952,4.5,https://www.tripadvisor.com/Restaurant_Review-g297700-d1994612-Reviews-Gong_Restaurant_Indonesian_and_Balinese_Cuisine-Sanur_Denpasar_Bali.html,reservationsanur@kayumanis.com,+62 361 270260,https://gong-restaurant.com/,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/fe/5e/99/balinese-rijsttafel.jpg,"{""current_rank"": 8, ""total"": 358}","Jl. Tirta Akasa no. 28, Sanur, Denpasar 80227 Indonesia","{""street"": ""Jl. Tirta Akasa no. 28"", ""city"": ""Sanur"", ""postal_code"": ""80227"", ""state"": null, ""country_code"": ""ID""}",-8.699165,115.25723,"{""1"": 11, ""2"": 16, ""3"": 37, ""4"": 96, ""5"": 793}","[""duck"", ""seafood"", ""private villa"", ""lovely restaurant"", ""bali""]",True,"{""sun"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""mon"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""tue"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""wed"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""thu"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""fri"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""sat"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}]}",https://gong-restaurant.com/menus/,,$$ - $$$,"[""Seafood"", ""Asian"", ""Indonesian""]","[""Vegetarian friendly"", ""Vegan options"", ""Gluten free options""]","[""Lunch"", ""Dinner"", ""Brunch""]","[""Reservations"", ""Outdoor Seating"", ""Private Dining"", ""Seating"", ""Parking Available"", ""Validated Parking"", ""Highchairs Available"", ""Wheelchair Accessible"", ""Serves Alcohol"", ""Full Bar"", ""Wine and Beer"", ""Accepts American Express"", ""Accepts Mastercard"", ""Accepts Visa"", ""Free Wifi"", ""Accepts Credit Cards"", ""Table Service""]",[],"[""Mid-range"", ""Seafood"", ""Asian"", ""Indonesian""]"
25896947,Paed Thai Sanur by Wonderspace,"Paed Thai served authentic Thai cuisine with the perfect delicate balance of sweet, salty, spicy, and sour that creates immerse feeling of tasteful food. Located in Sanur, a seaside town in the southeast of the island of Bali, savoring Thai food at Paed Thai is more than a simple eatery.",126,5,https://www.tripadvisor.com/Restaurant_Review-g297700-d25896947-Reviews-Paed_Thai_Sanur_by_Wonderspace-Sanur_Denpasar_Bali.html,info@thewonderspace.com,+62 812-3733-9353,https://paedthai.com/sanur,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/55/a2/8c/indoor-first-floor.jpg,"{""current_rank"": 1, ""total"": 358}","Jl. Bypass Ngurah Rai No.888A, Sanur, Denpasar 80228 Indonesia","{""street"": ""Jl. Bypass Ngurah Rai No.888A"", ""city"": ""Sanur"", ""postal_code"": ""80228"", ""state"": null, ""country_code"": ""ID""}",-8.696943,115.25892,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 7, ""5"": 119}","[""thai food"", ""affordable price""]",True,"{""sun"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""mon"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""tue"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""wed"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""thu"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""fri"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}], ""sat"": [{""open"": ""07:00:00"", ""close"": ""22:00:00""}]}",,,$$ - $$$,"[""Asian"", ""Thai"", ""Healthy""]","[""Vegetarian friendly"", ""Vegan options""]","[""Breakfast"", ""Lunch"", ""Dinner""]","[""Delivery"", ""Takeout"", ""Reservations"", ""Seating"", ""Parking Available"", ""Serves Alcohol"", ""Accepts Credit Cards"", ""Table Service""]",[],"[""Mid-range"", ""Asian"", ""Thai"", ""Healthy""]"
10085273,Warung Amphibia Seafood,,383,4.5,https://www.tripadvisor.com/Restaurant_Review-g297700-d10085273-Reviews-Warung_Amphibia_Seafood-Sanur_Denpasar_Bali.html,,+62 819-3309-6782,,https://media-cdn.tripadvisor.com/media/photo-o/18/a3/ee/d3/warung-amphibia.jpg,"{""current_rank"": 29, ""total"": 358}","Jalan Pantai Sindhu, Sanur, Denpasar 80228 Indonesia","{""street"": ""Jalan Pantai Sindhu"", ""city"": ""Sanur"", ""postal_code"": ""80228"", ""state"": null, ""country_code"": ""ID""}",-8.684626,115.26448,"{""1"": 6, ""2"": 7, ""3"": 20, ""4"": 79, ""5"": 271}","[""fresh seafood"", ""calamari"", ""rice"", ""white fish"", ""potatoes"", ""cooked to perfection"", ""sanur beach"", ""your feet"", ""warung"", ""sand"", ""bali"", ""aud"", ""beachside""]",False,"{""sun"": [{""open"": ""12:00:00"", ""close"": ""21:00:00""}], ""mon"": [{""open"": ""12:00:00"", ""close"": ""21:00:00""}], ""tue"": [{""open"": ""12:00:00"", ""close"": ""21:00:00""}], ""wed"": [{""open"": ""12:00:00"", ""close"": ""21:00:00""}], ""thu"": [{""open"": ""12:00:00"", ""close"": ""21:00:00""}], ""fri"": [{""open"": ""12:00:00"", ""close"": ""21:00:00""}], ""sat"": [{""open"": ""12:00:00"", ""close"": ""21:00:00""}]}",,,$,"[""Seafood"", ""Barbecue"", ""Asian"", ""Healthy"", ""Indonesian""]",[],"[""Lunch"", ""Dinner""]","[""Takeout"", ""Outdoor Seating"", ""Seating"", ""Serves Alcohol"", ""Waterfront""]",[],"[""Cheap Eats"", ""Seafood"", ""Barbecue"", ""Asian""]"
3151070,Omang Omang,,95,5,https://www.tripadvisor.com/Restaurant_Review-g297700-d3151070-Reviews-Omang_Omang-Sanur_Denpasar_Bali.html,,+62 361 281234,http://www.hyatt.com/en-US/hotel/indonesia/hyatt-regency-bali/dpsbl/dining/omang-omang,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/69/0e/be/seasonal-bbq-at-omang.jpg,"{""current_rank"": 25, ""total"": 358}","Jalan Danau Tamblingan No. 89 Hyatt Regency Bali, Sanur, Denpasar 80228 Indonesia","{""street"": ""Jalan Danau Tamblingan No. 89, Hyatt Regency Bali"", ""city"": ""Sanur"", ""postal_code"": ""80228"", ""state"": null, ""country_code"": ""ID""}",-8.702141,115.264175,"{""1"": 0, ""2"": 0, ""3"": 3, ""4"": 17, ""5"": 75}","[""salad"", ""the hyatt regency"", ""amazing food"", ""sri"", ""beach""]",True,"{""sun"": [{""open"": ""06:30:00"", ""close"": ""23:00:00""}], ""mon"": [{""open"": ""06:30:00"", ""close"": ""23:00:00""}], ""tue"": [{""open"": ""06:30:00"", ""close"": ""23:00:00""}], ""wed"": [{""open"": ""06:30:00"", ""close"": ""23:00:00""}], ""thu"": [{""open"": ""06:30:00"", ""close"": ""23:00:00""}], ""fri"": [{""open"": ""06:30:00"", ""close"": ""23:00:00""}], ""sat"": [{""open"": ""06:30:00"", ""close"": ""23:00:00""}]}",https://linktr.ee/omangomang,,$$ - $$$,"[""Seafood"", ""International"", ""Asian"", ""Grill"", ""Indonesian""]","[""Vegetarian friendly"", ""Vegan options"", ""Gluten free options""]","[""Breakfast"", ""Lunch"", ""Dinner"", ""Brunch""]","[""Reservations"", ""Outdoor Seating"", ""Buffet"", ""Private Dining"", ""Seating"", ""Parking Available"", ""Validated Parking"", ""Valet Parking"", ""Highchairs Available"", ""Wheelchair Accessible"", ""Serves Alcohol"", ""Full Bar"", ""Wine and Beer"", ""Accepts Mastercard"", ""Accepts Visa"", ""Digital Payments"", ""Free Wifi"", ""Table Service"", ""Family style""]",[],"[""Mid-range"", ""Seafood"", ""International"", ""Asian""]"
